STEPS, LR
695,1.39276e-06
697,1.38475e-06
699,1.37688e-06
701,1.369e-06
703,1.36125e-06
705,1.35354e-06
707,1.3459e-06
709,1.33834e-06
711,1.33082e-06
713,1.32338e-06
715,1.31596e-06
717,1.30865e-06
719,1.30138e-06
721,1.29418e-06
723,1.28701e-06
725,1.27995e-06
727,1.27294e-06
729,1.26593e-06
731,1.25902e-06
733,1.25221e-06
735,1.24541e-06
737,1.23866e-06
739,1.23197e-06
741,1.22534e-06
743,1.21872e-06
745,1.21219e-06
747,1.20572e-06
749,1.19929e-06
751,1.19293e-06
753,1.1866e-06
755,1.18031e-06
757,1.1741e-06
759,1.16791e-06
761,1.16179e-06
763,1.15573e-06
765,1.14972e-06
767,1.14371e-06
769,1.13774e-06
771,1.13185e-06
773,1.12602e-06
775,1.12021e-06
777,1.11446e-06
779,1.10874e-06
781,1.10307e-06
783,1.09747e-06
785,1.09189e-06
787,1.08636e-06
789,1.08085e-06
791,1.07543e-06
793,1.06998e-06
795,1.0646e-06
797,1.05927e-06
799,1.054e-06
801,1.04875e-06
803,1.04353e-06
805,1.03832e-06
807,1.03324e-06
809,1.02808e-06
811,1.02308e-06
813,1.01805e-06
815,1.01306e-06
817,1.00806e-06
819,1.00317e-06
821,9.98313e-07
823,9.93464e-07
825,9.8863e-07
827,9.83848e-07
829,9.79119e-07
831,9.74411e-07
833,9.69772e-07
835,9.65113e-07
837,9.60506e-07
839,9.55931e-07
841,9.51393e-07
843,9.46921e-07
845,9.42419e-07
847,9.3801e-07
849,9.33554e-07
851,9.29186e-07
853,9.24822e-07
855,9.20512e-07
857,9.16212e-07
859,9.11967e-07
861,9.07739e-07
863,9.03579e-07
865,8.99399e-07
867,8.95234e-07
869,8.91125e-07
871,8.87025e-07
873,8.8299e-07
875,8.78943e-07
877,8.74976e-07
879,8.70991e-07
881,8.6702e-07
883,8.63112e-07
885,8.59199e-07
887,8.55368e-07
889,8.51533e-07
891,8.47672e-07
893,8.43909e-07
895,8.40107e-07
897,8.36394e-07
899,8.32697e-07
901,8.28999e-07
903,8.25335e-07
905,8.21668e-07
907,8.18077e-07
909,8.14471e-07
911,8.10888e-07
913,8.07321e-07
915,8.03806e-07
917,8.00344e-07
919,7.96826e-07
921,7.93382e-07
923,7.89947e-07
925,7.86547e-07
927,7.83173e-07
929,7.79793e-07
931,7.76436e-07
933,7.73148e-07
935,7.6983e-07
937,7.66546e-07
939,7.63254e-07
941,7.60013e-07
943,7.56838e-07
945,7.53638e-07
947,7.50466e-07
949,7.47283e-07
951,7.44157e-07
953,7.41018e-07
955,7.37964e-07
957,7.34868e-07
959,7.31772e-07
961,7.28767e-07
963,7.25758e-07
965,7.22763e-07
967,7.19757e-07
969,7.16803e-07
971,7.13858e-07
973,7.10914e-07
975,7.07958e-07
977,7.05082e-07
979,7.02246e-07
981,6.9935e-07
983,6.9654e-07
985,6.93722e-07
987,6.90916e-07
989,6.88106e-07
991,6.85338e-07
993,6.82589e-07
995,6.79812e-07
997,6.77078e-07
999,6.74388e-07
