STEP,LR
849,0.000181313
851,0.000180549
853,0.000179755
855,0.000178985
857,0.000178214
859,0.000177423
861,0.000176676
863,0.000176022
865,0.000175347
867,0.000174638
869,0.000173956
871,0.000173302
873,0.000172616
875,0.000171906
877,0.000171172
879,0.000170467
881,0.000169783
883,0.000169061
885,0.000168403
887,0.000167716
889,0.000167092
891,0.000166526
893,0.000165946
895,0.000165345
897,0.000164715
899,0.000164071
901,0.00016339
903,0.000162699
905,0.000162035
907,0.000161327
909,0.00016057
911,0.000159836
913,0.000159093
915,0.00015838
917,0.000157714
919,0.00015711
921,0.000156521
923,0.000155877
925,0.000155209
927,0.000154543
929,0.000153927
931,0.000153363
933,0.000152833
935,0.00015229
937,0.000151772
939,0.000151213
941,0.00015061
943,0.000149971
945,0.000149338
947,0.000148731
949,0.000148102
951,0.000147449
953,0.000146789
955,0.000146152
957,0.000145542
959,0.000144988
961,0.000144459
963,0.000143911
965,0.00014339
967,0.000142835
969,0.000142246
971,0.000141662
973,0.000141064
975,0.000140448
977,0.000139838
979,0.000139232
981,0.000138709
983,0.000138184
985,0.000137633
987,0.000137074
989,0.00013653
991,0.000135992
993,0.00013541
995,0.000134803
997,0.000134186
999,0.000133593
