STEPS,ERROR,LAMBDA
50,0.675758,0.858583
51,0.643363,0.370285
52,0.589568,0.875082
53,0.558254,0.387043
54,0.507059,0.891266
55,0.476775,0.403473
56,0.427973,0.907153
57,0.398669,0.419592
58,0.352074,0.92276
59,0.323704,0.435418
60,0.27915,0.938099
61,0.251669,0.450967
62,0.209009,0.953185
63,0.182375,0.466252
64,0.141475,0.96803
65,0.115647,0.481286
66,0.0763867,0.982645
67,0.0513271,0.496082
68,0.0135974,0.99704
69,1.78748,0.510649
70,1.7417,0.0118084
71,1.722,0.525
72,1.67781,0.0265008
73,1.65836,0.539142
74,1.61566,0.0409709
75,1.59647,0.553085
76,1.55518,0.0552285
77,1.53625,0.566836
78,1.4963,0.0692827
79,1.47763,0.580405
80,1.43893,0.0831419
81,1.42054,0.593797
82,1.38303,0.0968139
83,1.3649,0.607019
84,1.32853,0.110306
85,1.31067,0.620078
86,1.27537,0.123625
87,1.25777,0.63298
88,1.22349,0.136778
89,1.20616,0.645729
90,1.17285,0.149771
91,1.15579,0.658332
92,1.1234,0.162608
93,1.1066,0.670794
94,1.07509,0.175297
95,1.05854,0.683118
96,1.02787,0.187841
97,1.01158,0.69531
98,0.981712,0.200246
99,0.965665,0.707373
100,0.936568,0.212516
101,0.920767,0.719312
102,0.892403,0.224655
103,0.876842,0.731131
104,0.849182,0.236668
105,0.833858,0.742832
106,0.806871,0.248558
107,0.791778,0.75442
108,0.765437,0.260329
109,0.750573,0.765897
110,0.724851,0.271984
111,0.710211,0.777266
112,0.685084,0.283528
113,0.670662,0.788532
114,0.646108,0.294962
115,0.631901,0.799696
116,0.607896,0.30629
117,0.593899,0.810761
118,0.570424,0.317516
119,0.556633,0.82173
120,0.533667,0.328641
121,0.520078,0.832605
122,0.497604,0.339668
123,0.484212,0.843388
124,0.46221,0.3506
125,0.449012,0.854083
126,0.427467,0.361439
127,0.414458,0.86469
128,0.393354,0.372188
129,0.38053,0.875213
130,0.359851,0.382849
131,0.347208,0.885652
132,0.32694,0.393423
133,0.314475,0.896011
134,0.294604,0.403914
135,0.282313,0.906291
136,0.262826,0.414322
137,0.250706,0.916493
138,0.23159,0.424651
139,0.219636,0.92662
140,0.20088,0.434901
141,0.189088,0.936672
142,0.170681,0.445074
143,0.159049,0.946653
144,0.140979,0.455172
145,0.129503,0.956562
146,0.11176,0.465198
147,0.100437,0.966402
148,0.0830106,0.475151
149,0.0718382,0.976175
150,0.0547188,0.485034
151,0.0436931,0.98588
152,0.026872,0.494849
153,0.0159899,0.995521
154,1.25895,0.504596
155,1.24912,0.00527447
156,1.22983,0.514277
157,1.22009,0.0151151
158,1.20111,0.523894
159,1.19144,0.0248881
160,1.17277,0.533447
161,1.16318,0.0345947
162,1.1448,0.542939
163,1.1353,0.0442364
164,1.1172,0.552369
165,1.10778,0.0538143
166,1.08996,0.561739
167,1.08062,0.0633298
168,1.06308,0.571051
169,1.05382,0.072784
170,1.03653,0.580305
171,1.02735,0.0821781
172,1.01033,0.589503
173,1.00122,0.0915132
174,0.984448,0.598645
175,0.975425,0.10079
176,0.958893,0.607733
177,0.949947,0.110011
178,0.933653,0.616767
179,0.924785,0.119176
180,0.908723,0.625749
181,0.89993,0.128285
182,0.884096,0.634679
183,0.875378,0.137341
184,0.859766,0.643558
185,0.851122,0.146344
186,0.835726,0.652387
187,0.827156,0.155296
188,0.811971,0.661167
189,0.803474,0.164196
190,0.788495,0.669899
191,0.780071,0.173046
192,0.765293,0.678583
193,0.75694,0.181846
194,0.74236,0.687221
195,0.734077,0.190598
196,0.719689,0.695812
197,0.711476,0.199302
198,0.697276,0.704358
199,0.689132,0.207959
200,0.675116,0.71286
201,0.667041,0.21657
202,0.653205,0.721318
203,0.645197,0.225135
204,0.631537,0.729732
205,0.623596,0.233656
206,0.610108,0.738104
207,0.602233,0.242132
208,0.588914,0.746434
209,0.581104,0.250565
210,0.56795,0.754723
211,0.560204,0.258955
212,0.547211,0.762971
213,0.53953,0.267303
214,0.526695,0.771179
215,0.519076,0.27561
216,0.506397,0.779347
217,0.49884,0.283875
218,0.486313,0.787477
219,0.478818,0.292101
220,0.466438,0.795568
221,0.459004,0.300286
222,0.446771,0.803621
223,0.439397,0.308433
224,0.427306,0.811637
225,0.419991,0.316541
226,0.40804,0.819616
227,0.400784,0.324611
228,0.388971,0.827559
229,0.381773,0.332643
230,0.370094,0.835466
231,0.362953,0.340638
232,0.351406,0.843337
233,0.344322,0.348597
234,0.332904,0.851174
235,0.325876,0.35652
236,0.314585,0.858976
237,0.307612,0.364407
238,0.296446,0.866745
239,0.289528,0.372259
240,0.278483,0.87448
241,0.27162,0.380077
242,0.260695,0.882181
243,0.253885,0.38786
244,0.243078,0.88985
245,0.23632,0.39561
246,0.225629,0.897487
247,0.218923,0.403327
248,0.208346,0.905092
249,0.201691,0.41101
250,0.191225,0.912666
251,0.184622,0.418662
252,0.174265,0.920208
253,0.167712,0.426281
254,0.157463,0.92772
255,0.15096,0.433869
256,0.140816,0.935201
257,0.134362,0.441425
258,0.124322,0.942652
259,0.117916,0.448951
260,0.107978,0.950074
261,0.101621,0.456446
262,0.0917829,0.957467
263,0.0854727,0.463911
264,0.0757334,0.96483
265,0.0694702,0.471346
266,0.0598277,0.972165
267,0.0536107,0.478752
268,0.0440634,0.979472
269,0.0378923,0.486129
270,0.0284386,0.986751
271,0.0223127,0.493477
272,0.012951,0.994002
273,0.00686984,0.500796
274,0.966984,0.00125803
275,0.961247,0.508088
276,0.95073,0.00864106
277,0.945024,0.515352
278,0.934604,0.0159954
279,0.928929,0.522589
280,0.918604,0.0233213
281,0.912961,0.529798
282,0.90273,0.0306191
283,0.897117,0.536981
284,0.88698,0.0378891
285,0.881397,0.544137
286,0.871351,0.0451318
287,0.865799,0.551267
288,0.855842,0.0523473
289,0.850321,0.558371
290,0.840452,0.0595359
291,0.834961,0.565449
292,0.82518,0.066698
293,0.819718,0.572502
294,0.810023,0.0738339
295,0.804591,0.57953
296,0.79498,0.0809438
297,0.789577,0.586533
298,0.78005,0.088028
299,0.774677,0.593511
300,0.765231,0.0950869
301,0.759887,0.600465
302,0.750522,0.102121
303,0.745207,0.607395
304,0.735922,0.109129
305,0.730635,0.614301
306,0.721429,0.116114
307,0.716171,0.621184
308,0.707041,0.123073
309,0.701812,0.628043
310,0.692759,0.130009
311,0.687557,0.634879
312,0.678579,0.136921
313,0.673406,0.641693
314,0.664502,0.143809
315,0.659356,0.648483
316,0.650525,0.150674
317,0.645407,0.655252
318,0.636648,0.157516
319,0.631557,0.661998
320,0.622869,0.164335
321,0.617805,0.668722
322,0.609188,0.171131
323,0.604151,0.675424
324,0.595602,0.177905
325,0.590592,0.682105
326,0.582112,0.184657
327,0.577128,0.688764
328,0.568715,0.191386
329,0.563757,0.695402
330,0.55541,0.198094
331,0.550479,0.70202
332,0.542198,0.20478
333,0.537292,0.708616
334,0.529075,0.211445
335,0.524196,0.715192
336,0.516043,0.218088
337,0.511189,0.721748
338,0.503098,0.224711
339,0.49827,0.728283
340,0.490242,0.231313
341,0.485438,0.734798
342,0.477471,0.237894
343,0.472693,0.741294
344,0.464786,0.244455
345,0.460032,0.74777
346,0.452186,0.250996
347,0.447456,0.754226
348,0.439668,0.257516
349,0.434964,0.760664
350,0.427234,0.264017
351,0.422554,0.767082
352,0.414881,0.270498
353,0.410225,0.773481
354,0.402609,0.27696
355,0.397977,0.779861
356,0.390417,0.283402
357,0.385808,0.786223
358,0.378304,0.289825
359,0.373718,0.792566
360,0.366268,0.29623
361,0.361706,0.798891
362,0.35431,0.302615
363,0.349772,0.805198
364,0.342429,0.308982
365,0.337913,0.811487
366,0.330623,0.31533
367,0.32613,0.817758
368,0.318892,0.32166
369,0.314422,0.824012
370,0.307235,0.327972
371,0.302787,0.830248
372,0.295651,0.334266
373,0.291225,0.836466
374,0.284139,0.340542
375,0.279736,0.842667
376,0.272699,0.3468
377,0.268318,0.848852
378,0.26133,0.353041
379,0.25697,0.855019
380,0.250031,0.359264
