DIV(ETF),PRICE
0.002425,988.101
0.002925,987.191
0.003425,990.647
0.003925,987.626
0.004425,987.64
0.004925,986.362
0.005425,987.994
0.005925,991.488
0.006425,987.423
0.006925,987.586
0.007425,986.747
0.007925,985.288
