COV(ETF & SX5E),PRICE
-0.012722,989.575
-0.011722,990.441
-0.010722,988.675
-0.009722,989.609
-0.008722,985.444
-0.007722,988.694
-0.006722,988.143
-0.005722,990.171
-0.004722,987.743
-0.003722,985.834
-0.002722,987.478
-0.001722,989.694
-0.000722,989.839
0.000278,987.182
0.001278,989.798
0.002278,989.417
0.003278,985.51
0.004278,991.409
0.005278,989.525
0.006278,988.852
0.007278,988.742
0.008278,990.737
0.009278,989.51
0.010278,986.585
0.011278,991.112
0.012278,988.882
